Stock_Code,Last_Price,Previous_Price,Change_Percent,High,Low,Weighted_Average,Volume_Lot,Volume_TL,Tarih
AEFES,163.20,155.70,-4.39,169.60,163.20,0.00,11280363,0.0,2025-05-15
AKBNK,50.70,49.60,-2.12,52.25,50.60,51.48,97366365,5012420.5,2025-05-15
ASELS,137.50,137.00,-0.36,141.80,136.50,139.28,39270017,5469528.0,2025-05-15
ASTOR,100.70,95.90,-4.55,106.30,100.70,0.00,8468482,0.0,2025-05-15
BIMAS,495.50,494.50,-0.20,502.50,493.00,0.00,3631337,0.0,2025-05-15
CIMSA,54.25,55.95,3.24,55.20,52.10,54.01,19564841,1056697.1,2025-05-15
EKGYO,14.05,14.37,2.33,14.23,13.84,0.00,252715377,0.0,2025-05-15
ENKAI,66.20,64.40,-2.65,68.00,64.60,0.00,25140770,0.0,2025-05-15
EREGL,24.68,24.70,0.08,24.84,24.22,0.00,133269897,0.0,2025-05-15
FROTO,93.50,90.45,-3.16,97.70,92.65,0.00,9925309,0.0,2025-05-15
GARAN,110.10,106.60,-3.08,114.50,109.40,0.00,20365830,0.0,2025-05-15
HEKTS,3.13,3.03,-3.10,3.26,3.13,0.00,47366808,0.0,2025-05-15
ISCTR,10.71,10.47,-2.19,11.04,10.66,0.00,378284980,0.0,2025-05-15
KCHOL,148.40,142.80,-3.64,155.20,148.10,0.00,24454357,0.0,2025-05-15
KOZAL,25.04,24.74,-1.18,25.58,24.78,0.00,43209082,0.0,2025-05-15
KRDMD,24.06,23.08,-3.91,25.10,24.04,0.00,62016724,0.0,2025-05-15
MGROS,524.00,518.00,-1.13,533.00,521.00,0.00,1190193,0.0,2025-05-15
PETKM,17.70,17.31,-2.16,18.18,17.70,0.00,41757172,0.0,2025-05-15
PGSUS,245.70,240.15,-2.21,252.50,244.10,0.00,4693265,0.0,2025-05-15
SAHOL,77.65,76.05,-2.02,80.65,76.80,78.41,27619095,2165613.2,2025-05-15
SASA,3.64,3.49,-3.96,3.84,3.63,0.00,392604238,0.0,2025-05-15
SISE,36.50,35.54,-2.56,37.56,36.16,0.00,23953521,0.0,2025-05-15
TAVHL,232.60,225.70,-2.88,240.60,231.30,0.00,2267737,0.0,2025-05-15
TCELL,96.50,95.95,-0.57,98.40,96.35,0.00,16778211,0.0,2025-05-15
THYAO,293.75,288.50,-1.76,301.00,292.25,0.00,16710515,0.0,2025-05-15
TOASO,213.50,209.50,-1.84,220.90,212.60,0.00,7738210,0.0,2025-05-15
TTKOM,61.45,61.55,0.16,62.25,60.35,0.00,14946150,0.0,2025-05-15
TUPRS,131.70,128.10,-2.66,137.50,131.00,0.00,16441384,0.0,2025-05-15
ULKER,114.30,110.90,-2.89,118.50,114.00,115.87,7977872,924396.0,2025-05-15
YKBNK,25.24,24.86,-1.48,25.88,25.14,0.00,245298302,0.0,2025-05-15
